seed_a,seed_b,spearman,jaccard_top5,jaccard_top10
1,26,0.946899,0.591398,0.651685
1,27,0.944136,0.608696,0.615385
1,28,0.939692,0.626374,0.68
1,29,0.944013,0.644444,0.642458
2,3,0.950379,0.681818,0.661017
2,4,0.947162,0.541667,0.606557
2,5,0.946364,0.541667,0.699422
2,6,0.945188,0.557895,0.615385
2,7,0.942334,0.525773,0.642458
2,8,0.956374,0.644444,0.661017
2,9,0.946415,0.608696,0.661017
2,10,0.951245,0.591398,0.689655
2,11,0.940092,0.608696,0.624309
2,12,0.952255,0.608696,0.670455
2,13,0.954798,0.541667,0.661017
2,14,0.949596,0.541667,0.661017
2,15,0.94227,0.626374,0.633333
2,16,0.952799,0.644444,0.670455
2,17,0.949748,0.557895,0.670455
2,18,0.95107,0.626374,0.661017
2,19,0.937215,0.48,0.642458
2,20,0.948256,0.608696,0.699422
2,21,0.948723,0.510204,0.670455
2,22,0.948041,0.608696,0.670455
2,23,0.957676,0.662921,0.670455
2,24,0.950184,0.626374,0.709302
2,25,0.953828,0.574468,0.642458
2,26,0.952158,0.681818,0.68
2,27,0.952596,0.574468,0.633333
2,28,0.944977,0.574468,0.651685
2,29,0.946208,0.608696,0.615385
3,4,0.954211,0.608696,0.670455
3,5,0.953113,0.608696,0.719298
3,6,0.947009,0.662921,0.661017
3,7,0.95257,0.591398,0.709302
3,8,0.956638,0.662921,0.670455
3,9,0.951834,0.662921,0.661017
3,10,0.959566,0.662921,0.670455
3,11,0.942054,0.626374,0.661017
3,12,0.946258,0.701149,0.719298
3,13,0.952342,0.608696,0.719298
3,14,0.954237,0.681818,0.719298
3,15,0.950535,0.741176,0.68
3,16,0.954366,0.662921,0.633333
3,17,0.955009,0.626374,0.670455
3,18,0.955354,0.626374,0.651685
3,19,0.94458,0.525773,0.633333
3,20,0.953337,0.591398,0.719298
3,21,0.947999,0.608696,0.689655
3,22,0.946201,0.72093,0.68
3,23,0.955554,0.701149,0.699422
3,24,0.94923,0.662921,0.729412
3,25,0.947103,0.701149,0.689655
3,26,0.958645,0.644444,0.699422
3,27,0.945381,0.662921,0.699422
3,28,0.950021,0.662921,0.661017
3,29,0.94076,0.591398,0.670455
4,5,0.944722,0.557895,0.633333
4,6,0.949984,0.681818,0.633333
4,7,0.951166,0.644444,0.642458
4,8,0.94826,0.591398,0.624309
4,9,0.952934,0.591398,0.606557
4,10,0.956255,0.626374,0.651685
4,11,0.939632,0.626374,0.624309
4,12,0.931214,0.525773,0.624309
4,13,0.942319,0.525773,0.624309
4,14,0.94708,0.510204,0.633333
4,15,0.93339,0.557895,0.606557
4,16,0.953042,0.626374,0.615385
4,17,0.95316,0.541667,0.651685
4,18,0.949413,0.574468,0.624309
4,19,0.939499,0.525773,0.633333
4,20,0.947105,0.541667,0.633333
4,21,0.952846,0.574468,0.606557
4,22,0.941422,0.557895,0.56383
4,23,0.945564,0.494949,0.56383
4,24,0.943083,0.510204,0.661017
4,25,0.943839,0.541667,0.633333
4,26,0.948421,0.591398,0.624309
4,27,0.950659,0.525773,0.651685
4,28,0.946981,0.541667,0.624309
4,29,0.938185,0.574468,0.589189
5,6,0.935683,0.591398,0.615385
5,7,0.948081,0.574468,0.699422
5,8,0.947511,0.644444,0.68
5,9,0.941754,0.591398,0.661017
5,10,0.943677,0.591398,0.689655
5,11,0.931674,0.574468,0.633333
5,12,0.943345,0.591398,0.709302
5,13,0.940444,0.510204,0.670455
5,14,0.94639,0.591398,0.760479
5,15,0.937475,0.608696,0.68
5,16,0.940181,0.626374,0.633333
5,17,0.950325,0.608696,0.699422
5,18,0.939432,0.574468,0.670455
5,19,0.936835,0.557895,0.633333
5,20,0.945068,0.574468,0.709302
5,21,0.944016,0.608696,0.709302
5,22,0.941509,0.608696,0.68
5,23,0.947748,0.608696,0.729412
5,24,0.951158,0.591398,0.709302
5,25,0.950972,0.574468,0.709302
5,26,0.949306,0.574468,0.689655
5,27,0.944373,0.608696,0.689655
5,28,0.940257,0.644444,0.689655
5,29,0.941532,0.591398,0.642458
6,7,0.942152,0.626374,0.642458
6,8,0.947508,0.644444,0.699422
6,9,0.946699,0.681818,0.642458
6,10,0.946262,0.681818,0.68
6,11,0.92998,0.644444,0.68
6,12,0.93249,0.626374,0.642458
6,13,0.952003,0.591398,0.670455
6,14,0.944295,0.574468,0.615385
